PLAYER_NAME,SEASON,TEAM,GP,GS,MIN,FG%,3PT%,FT%,OR,DR,REB,AST,BLK,STL,TO,PTS
LeBron James,2003-04,CLE,79,79,39.5,41.7,29.0,75.4,1.3,4.2,5.5,5.9,0.7,1.6,3.5,20.9
LeBron James,2004-05,CLE,80,80,42.4,47.2,35.1,75.0,1.4,6.0,7.4,7.2,0.7,2.2,3.3,27.2
LeBron James,2005-06,CLE,79,79,42.5,48.0,33.5,73.8,0.9,6.1,7.0,6.6,0.8,1.6,3.3,31.4
LeBron James,2006-07,CLE,78,78,40.9,47.6,31.9,69.8,1.1,5.7,6.7,6.0,0.7,1.6,3.2,27.3
LeBron James,2007-08,CLE,75,74,40.4,48.4,31.5,71.2,1.8,6.1,7.9,7.2,1.1,1.8,3.4,30.0
LeBron James,2008-09,CLE,81,81,37.7,48.9,34.4,78.0,1.3,6.3,7.6,7.2,1.1,1.7,3.0,28.4
LeBron James,2009-10,CLE,76,76,39.0,50.3,33.3,76.7,0.9,6.4,7.3,8.6,1.0,1.6,3.4,29.7
LeBron James,2010-11,CLE,79,79,38.8,51.0,33.0,75.9,1.0,6.5,7.5,7.0,0.6,1.6,3.6,26.7
LeBron James,2011-12,MIA,62,62,37.5,53.1,36.2,77.1,1.5,6.4,7.9,6.2,0.8,1.9,3.4,27.1
LeBron James,2012-13,MIA,76,76,37.9,56.5,40.6,75.3,1.3,6.8,8.0,7.3,0.9,1.7,3.0,26.8
LeBron James,2013-14,MIA,77,77,37.7,56.7,37.9,75.0,1.1,5.9,6.9,6.3,0.3,1.6,3.5,27.1
LeBron James,2014-15,MIA,69,69,36.1,48.8,35.4,71.0,0.7,5.3,6.0,7.4,0.7,1.6,3.9,25.3
LeBron James,2015-16,CLE,76,76,35.6,52.0,30.9,73.1,1.5,6.0,7.4,6.0,0.6,1.4,3.3,25.3
LeBron James,2016-17,CLE,74,74,37.8,54.8,36.3,67.4,1.3,7.3,6.8,6.3,0.6,1.2,4.1,26.4
LeBron James,2017-18,CLE,82,82,36.9,54.2,36.7,73.1,1.2,7.5,8.6,9.1,0.9,1.4,4.2,27.5
LeBron James,2018-19,CLE,55,54,35.2,51.0,33.9,66.5,1.0,7.4,8.5,8.3,0.6,1.3,3.6,27.4
LeBron James,2019-20,LAL,67,67,34.6,49.3,34.8,69.3,1.0,6.9,7.8,10.2,0.5,1.2,3.9,25.3
LeBron James,2020-21,LAL,45,45,33.4,51.3,36.5,69.8,0.6,7.0,7.7,7.8,0.6,1.1,3.7,25.0
LeBron James,2021-22,LAL,56,56,37.2,52.4,35.9,75.6,1.1,7.1,8.2,6.2,1.1,1.3,3.5,30.3
LeBron James,2022-23,LAL,55,55,35.5,50.0,32.1,76.8,1.2,7.1,8.3,6.8,0.6,0.9,3.2,28.9
LeBron James,2023-24,LAL,71,71,35.3,54.0,41.0,75.0,0.9,6.4,7.3,8.3,0.5,1.3,3.5,25.7
Stephen Curry,2009-10,GSW,80,77,36.2,46.2,43.7,88.5,0.6,3.9,4.5,5.9,0.2,1.9,3.1,17.5
Stephen Curry,2010-11,GSW,74,74,33.6,48.0,44.2,93.4,0.7,3.2,3.9,5.8,0.3,1.5,3.1,18.6
Stephen Curry,2011-12,GSW,26,23,28.2,49.0,45.5,80.9,0.6,2.8,3.4,5.3,0.3,1.5,2.5,14.7
Stephen Curry,2012-13,GSW,78,78,38.2,45.1,45.3,90.0,0.8,3.3,4.0,6.9,0.2,1.6,3.1,22.9
Stephen Curry,2013-14,GSW,78,78,36.5,47.1,42.4,88.5,0.6,3.7,4.3,8.5,0.2,1.6,3.8,24.0
Stephen Curry,2014-15,GSW,80,80,32.7,48.7,44.3,91.4,0.7,3.6,4.3,7.7,0.2,2.0,3.1,23.8
Stephen Curry,2015-16,GSW,79,79,34.2,50.4,45.4,90.8,0.9,4.6,5.4,6.7,0.2,2.1,3.3,30.1
Stephen Curry,2016-17,GSW,79,79,33.4,46.8,41.1,89.8,0.8,3.7,4.5,6.6,0.2,1.8,3.0,25.3
Stephen Curry,2017-18,GSW,51,51,32.0,49.5,42.3,92.1,0.7,4.4,5.1,6.1,0.2,1.6,3.0,26.4
Stephen Curry,2018-19,GSW,69,69,33.8,47.2,43.7,91.6,0.7,4.7,5.3,5.2,0.4,1.3,2.8,27.3
Stephen Curry,2019-20,GSW,5,5,27.8,40.2,24.5,100.0,0.8,4.4,5.2,6.6,0.4,1.0,3.2,20.8
Stephen Curry,2020-21,GSW,63,63,34.2,48.2,42.1,91.6,0.5,5.0,5.5,5.8,0.1,1.2,3.4,32.0
Stephen Curry,2021-22,GSW,64,64,34.5,43.7,38.0,92.3,0.5,4.7,5.2,6.3,0.4,1.3,3.2,25.5
Stephen Curry,2022-23,GSW,56,56,34.7,49.3,42.7,91.5,0.7,5.4,6.1,6.3,0.4,0.9,3.2,29.4
Stephen Curry,2023-24,GSW,74,74,32.7,45.0,40.8,92.3,0.5,4.0,4.5,5.1,0.4,0.7,2.8,26.4
Shai Gilgeous-Alexander,2018-19,LAC,82,73,26.5,47.6,36.7,80.0,0.7,2.1,2.8,3.3,0.5,1.2,1.7,10.8
Shai Gilgeous-Alexander,2019-20,OKC,70,70,34.7,47.1,34.7,80.7,0.7,5.2,5.9,3.3,0.7,1.1,1.9,19.0
Shai Gilgeous-Alexander,2020-21,OKC,35,35,33.7,50.8,41.8,80.8,0.5,4.2,4.7,5.9,0.7,0.8,3.0,23.7
Shai Gilgeous-Alexander,2021-22,OKC,56,56,34.7,45.3,30.0,81.0,0.7,4.3,5.0,5.9,0.8,1.3,2.8,24.5
Shai Gilgeous-Alexander,2022-23,OKC,68,68,35.5,51.0,34.5,90.5,0.9,4.0,4.8,5.5,1.0,1.6,2.8,31.4
Shai Gilgeous-Alexander,2023-24,OKC,75,75,34.0,53.5,35.3,87.4,0.9,4.7,5.5,6.2,0.9,2.0,2.2,30.1
Giannis Antetokounmpo,2013-14,MIL,77,23,24.6,41.4,34.7,68.3,1.0,3.4,4.4,1.9,0.8,0.8,1.6,6.8
Giannis Antetokounmpo,2014-15,MIL,81,71,31.4,49.1,15.9,74.1,1.2,5.5,6.7,2.6,1.0,0.9,2.1,12.7
Giannis Antetokounmpo,2015-16,MIL,80,79,35.3,50.6,25.7,72.4,1.4,6.2,7.7,4.3,1.4,1.2,2.6,16.9
Giannis Antetokounmpo,2016-17,MIL,80,80,35.6,52.1,27.2,77.0,1.8,7.0,8.8,5.4,1.9,1.6,2.9,22.9
Giannis Antetokounmpo,2017-18,MIL,75,75,36.7,52.9,30.7,76.0,2.1,8.0,10.0,4.8,1.4,1.5,3.0,26.9
Giannis Antetokounmpo,2018-19,MIL,72,72,32.8,57.8,25.6,72.9,2.2,10.3,12.5,5.9,1.5,1.3,3.7,27.7
Giannis Antetokounmpo,2019-20,MIL,63,63,30.4,55.3,30.4,63.3,2.2,11.4,13.6,5.6,1.0,1.0,3.7,29.5
Giannis Antetokounmpo,2020-21,MIL,61,61,33.0,56.9,30.3,68.5,1.6,9.4,11.0,5.9,1.2,1.2,3.4,28.1
Giannis Antetokounmpo,2021-22,MIL,67,67,32.9,55.3,29.3,72.2,2.0,9.6,11.6,5.8,1.4,1.1,3.3,29.9
Giannis Antetokounmpo,2022-23,MIL,63,63,32.1,55.3,27.5,64.5,2.2,9.6,11.8,5.7,0.8,0.8,3.9,31.1
Giannis Antetokounmpo,2023-24,MIL,73,73,35.2,61.1,27.4,65.7,2.7,8.8,11.5,6.5,1.1,1.2,3.4,30.4
Luka Doncic,2018-19,DAL,72,72,32.2,42.7,32.7,71.3,1.2,6.6,7.8,6.0,0.3,1.1,3.4,21.2
Luka Doncic,2019-20,DAL,61,61,33.6,46.3,31.6,75.8,1.3,8.1,9.4,8.8,0.2,1.0,4.3,28.8
Luka Doncic,2020-21,DAL,66,66,34.3,47.9,35.0,73.0,0.8,7.2,8.0,8.6,0.5,1.0,4.3,27.7
Luka Doncic,2021-22,DAL,65,65,35.4,45.7,35.3,74.4,0.9,8.3,9.1,8.7,0.6,1.2,4.5,28.4
Luka Doncic,2022-23,DAL,66,66,36.2,49.6,34.2,74.2,0.8,7.8,8.6,8.0,0.5,1.4,3.6,32.4
Luka Doncic,2023-24,DAL,70,70,37.5,48.7,38.2,78.6,0.8,8.4,9.2,9.8,0.5,1.4,4.0,33.9
Kevin Durant,2007-08,SEA,80,80,34.6,43.0,28.8,87.3,0.9,3.5,4.4,2.4,0.9,1.0,2.9,20.3
Kevin Durant,2008-09,OKC,74,74,39.0,47.6,42.2,86.3,1.0,5.5,6.5,2.8,0.7,1.3,3.0,25.3
Kevin Durant,2009-10,OKC,82,82,39.5,47.6,36.5,90.0,1.3,6.3,7.6,2.8,1.0,1.4,3.3,30.1
Kevin Durant,2010-11,OKC,78,78,38.9,46.2,35.0,88.0,0.7,6.1,6.8,2.7,1.0,1.1,2.8,27.7
Kevin Durant,2011-12,OKC,66,66,38.6,49.6,38.7,86.0,0.6,7.4,8.0,3.5,1.2,1.3,3.8,28.0
Kevin Durant,2012-13,OKC,81,81,38.5,51.0,41.6,90.5,0.6,7.3,7.9,4.6,1.3,1.4,3.5,28.1
Kevin Durant,2013-14,OKC,81,81,38.5,50.3,39.1,87.3,0.7,6.7,7.4,5.5,0.7,1.3,3.5,32.0
Kevin Durant,2014-15,OKC,27,27,33.8,51.0,40.3,85.4,0.6,6.0,6.6,4.1,0.9,0.9,2.7,25.4
Kevin Durant,2015-16,OKC,72,72,35.8,50.5,38.6,89.8,0.6,7.6,8.2,5.0,1.2,1.0,3.5,28.2
Kevin Durant,2016-17,GSW,62,62,33.4,53.7,37.5,87.5,0.6,7.6,8.3,4.8,1.6,1.1,2.2,25.1
Kevin Durant,2017-18,GSW,68,68,34.2,51.6,41.9,88.9,0.5,6.4,6.8,5.4,1.8,0.7,3.0,26.4
Kevin Durant,2018-19,GSW,78,78,34.6,52.1,35.3,88.5,0.4,5.9,6.4,5.9,1.1,0.7,2.9,26.0
Kevin Durant,2019-20,BKN,35,32,33.1,53.7,45.0,88.2,0.4,6.7,7.1,5.6,1.3,0.7,3.4,26.9
Kevin Durant,2020-21,BKN,55,55,37.2,51.8,38.3,91.0,0.5,6.9,7.4,6.4,0.9,0.9,3.5,29.9
Kevin Durant,2021-22,BKN,39,39,36.0,55.9,37.6,93.4,0.4,6.4,6.7,5.3,1.5,0.8,3.5,29.7
Kevin Durant,2022-23,PHX,8,8,33.6,57.0,53.7,83.3,0.4,6.0,6.4,3.5,1.3,0.3,2.5,26.0
Kevin Durant,2023-24,PHX,75,75,37.2,52.3,41.3,85.6,0.5,6.1,6.6,5.0,1.2,0.9,3.3,27.1
Jayson Tatum,2017-18,BOS,80,80,30.5,47.5,43.4,82.6,0.6,4.4,5.0,1.6,0.7,1.0,1.4,13.9
Jayson Tatum,2018-19,BOS,79,79,31.1,45.0,37.3,85.5,0.9,5.2,6.0,2.1,0.7,1.1,1.5,15.7
Jayson Tatum,2019-20,BOS,66,66,34.3,45.0,40.3,81.2,1.0,6.0,7.0,3.0,0.9,1.4,2.3,23.4
Jayson Tatum,2020-21,BOS,64,64,35.8,45.9,38.6,86.8,0.8,6.6,7.4,4.3,0.5,1.2,2.7,26.4
Jayson Tatum,2021-22,BOS,76,76,35.9,45.3,35.3,85.3,1.1,6.9,8.0,4.4,0.6,1.0,2.9,26.9
Jayson Tatum,2022-23,BOS,74,74,36.9,46.6,35.0,85.4,1.1,7.7,8.8,4.6,0.7,1.1,2.9,30.1
Jayson Tatum,2023-24,BOS,74,74,35.7,47.1,37.6,83.3,0.9,7.2,8.1,4.9,0.6,1.0,2.5,26.9
Chris Paul,2005-06,NO,78,78,36.0,43.0,28.2,84.7,0.8,4.3,5.1,7.8,0.1,2.2,2.3,16.1
Chris Paul,2006-07,NO,64,64,36.8,43.7,35.0,81.8,0.8,3.5,4.4,8.9,0.0,1.8,2.5,17.3
Chris Paul,2007-08,NO,80,80,37.6,48.8,36.9,85.1,0.8,3.2,4.0,11.6,0.1,2.7,2.7,21.1
Chris Paul,2008-09,NO,78,78,38.5,50.3,36.4,86.8,0.9,4.7,5.5,11.0,0.1,2.8,3.0,22.8
Chris Paul,2009-10,NO,45,45,38.0,49.3,40.9,84.7,0.4,3.8,4.2,10.7,0.2,2.1,2.6,18.7
Chris Paul,2010-11,NO,80,80,36.0,46.3,38.8,87.8,0.5,3.6,4.1,9.8,0.1,2.4,2.2,15.9
Chris Paul,2011-12,LAC,60,60,36.4,47.8,37.1,86.1,0.7,2.9,3.6,9.1,0.1,2.5,2.1,19.8
Chris Paul,2012-13,LAC,70,70,33.4,48.1,32.8,88.5,0.8,3.0,3.7,9.7,0.1,2.4,2.3,16.9
Chris Paul,2013-14,LAC,62,62,35.0,46.7,36.8,85.5,0.6,3.7,4.3,10.7,0.1,2.5,2.3,19.1
Chris Paul,2014-15,LAC,82,82,34.8,48.5,39.8,90.0,0.6,4.0,4.6,10.2,0.2,1.9,2.5,19.1
Chris Paul,2015-16,LAC,74,74,32.7,46.2,37.1,89.6,0.5,3.7,4.2,10.0,0.2,2.1,2.6,19.5
Chris Paul,2016-17,LAC,61,61,31.5,47.6,41.1,89.2,0.7,4.3,5.0,9.2,0.1,2.0,2.4,18.1
Chris Paul,2017-18,HOU,58,58,31.8,46.0,38.0,91.9,0.6,4.8,5.4,7.9,0.2,1.7,2.2,18.6
Chris Paul,2018-19,HOU,58,58,32.0,41.9,35.8,86.2,0.6,3.9,4.6,8.2,0.3,2.0,2.6,15.6
Chris Paul,2019-20,OKC,70,70,31.5,48.9,36.5,90.7,0.4,4.6,5.0,6.7,0.2,1.6,2.3,17.6
Chris Paul,2020-21,PHX,70,70,31.4,49.9,39.5,93.4,0.4,4.1,4.5,8.9,0.3,1.4,2.2,16.4
Chris Paul,2021-22,PHX,65,65,32.9,49.3,31.7,83.7,0.3,4.0,4.4,10.8,0.3,1.9,2.4,14.7
Chris Paul,2022-23,PHX,59,59,32.0,44.0,37.5,83.1,0.5,3.8,4.3,8.9,0.4,1.5,1.9,13.9
Chris Paul,2023-24,GSW,58,18,26.4,44.1,37.1,82.7,0.3,3.6,3.9,6.8,0.1,1.2,1.3,9.2
